2391,gatigisimu,catechism
5314,gerenade,grenade
2409,gereza,jail
2418,Gicurasi,May
2500,gihamya,proof
3708,gitare,guitar
3392,gusaba,"dowry ceremony"
2478,guverineri,governor
2479,guverinoma,government
4458,hegitometero,hectometre
2588,hoteri,hotel
1974,ibaba,wing
4326,ibabi,leaf
1982,ibagiro,"butcher shop"
1987,ibakure,bowl
4659,ibambe,pity
1992,ibande,"adhesive tape"
1995,ibanga,secret
1996,ibanki,"bank (financial)"
4658,ibanze,beginning
2000,ibara,colour
2006,ibaraza,porch
2011,ibarura,census
5125,ibaruwa,letter
2016,ibatiri,battery
4593,ibendera,flag
2032,ibere,breast
2036,ibesani,basin
2040,ibiba,"planting season"
2029,ibibembe,leprosy
2161,ibicurane,flu
2539,ibihendo,deceitfulness
5131,ibinezaneza,happiness
5302,ibinga,"oversized jaw"
2034,ibireti,pyrethrum
3023,ibirika,"large kettle"
5452,ibirimo,summary
3342,ibiro,offices
3388,ibiryo,food
2056,ibisi,bus
3715,ibitaro,hospital
3846,ibitutire,bribe
2062,ibombe,bomb
4764,ibondo,potbelly
2081,ibumba,clay
5416,ibunda,parcel
2089,iburira,alert
2093,ibuye,stone
5609,ibwami,"royal court"
5364,ibwiriza,instruction
2674,ibyishimo,joy
3151,ibyondo,mud
2122,icapiro,"printing house"
2127,icenga,trick
2144,icukiro,"manure heap"
2149,icumbi,dormitory
2150,icumu,spear
2153,icunga,"orange (fruit)"
2159,icupa,bottle
4503,icuraburindi,"great darkness"
1883,icyacumi,tenth
1893,icyago,misfortune
1896,icyaha,sin
4733,icyahi,"old clothes"
1898,icyahinduwe,change
1909,icyambu,"port (for boats)"
1919,icyana,"young of animal"
1927,icyanditse,scripture
4336,icyanzu,"secret passage"
1953,icyari,nest
1956,icyaro,countryside
4634,icyaruzi,"bird of prey"
5329,icyatangajwe,announcement
1968,icyatsi,grass
1972,icyayi,tea
2271,icyerekezo,direction
2622,icyibutsa,reminder
2626,icyicaro,seat
2631,icyifuzo,wish
2642,icyigisho,lesson
2669,icyiringiro,belief
4922,icyiru,reparation
4364,icyishyurwa,expense
4934,icyitso,accomplice
4621,icyiyoni,raven
4868,icyizere,hope
5331,icyobo,mushroom
4418,icyogajuru,spaceship
4976,icyogere,fame
4915,icyohe,troublemaker
3149,icyombo,"port for boats"
3150,icyombo,"CB radio"
4997,icyondi,"L'Hoest's monkey"
5078,icyondo,mud
3155,icyorezo,epidemic
4905,icyotsi,"hot thing"
3865,icyubahiro,honour
5100,icyugu,"type of lizard"
4734,icyuho,gap
3875,icyuma,knife
3876,icyumba,room
3880,icyumweru,week
3881,icyunamo,"time of mourning"
3883,icyungo,conjunction
3887,icyuya,sweat
3888,icyuzi,pool
2189,idarapo,flag
2191,idari,"paving stone"
2202,idebe,"big empty tin"
2203,idefile,parade
2212,idendo,turkey
2219,idini,religion
2224,idirishya,window
2240,idosiye,file
2241,idovize,"foreign currency"
2244,iduka,"small shop"
2249,iduwane,customs
2250,iduzeni,dozen
2285,ifagitire,bill
2287,ifaranga,franc
2292,ifarini,"wheat flour"
2291,ifarumasi,pharmacy
2296,ifashayobora,help
2302,ifeza,silver
2307,ifiriti,"potato chip"
2308,ifizibule,fuse
2311,iforomaji,cheese
2313,ifoto,photograph
5231,ifuku,mole
2322,ifunguro,meal
2329,ifuro,froth
2330,ifuru,oven
2332,ifuti,mistake
2341,igaju,"light brown"
2376,igarama,gram
2379,igare,bicycle
2393,igazeti,gazette
5725,igenzura,investigation
2126,igice,half
2130,igiceri,coin
2135,igiciro,cost
2138,igico,ambush
2140,igicu,cloud
2141,igicuba,"milk can"
2143,igicucu,shadow
2142,igicucu,fool
2145,igicuku,midnight
2151,igicumuro,crime
2164,igicuri,epilepsy
4792,igicuro,"muscle twitch"
2167,igicuruzwa,goods
4496,igifashi,"vice; vise"
2318,Igifulama,"Flemish language"
4947,igifwera,slug
2493,igihaha,lung
2499,igihamuke,coward
2508,igihanga,skull
2513,igihangange,giant
2517,igihano,punishment
2523,igiharwe,odd
2527,igihe,time
2532,igiheko,charm
2535,igihembo,salary
2536,igihembwe,"school term"
4730,igiheri,bedbug
2551,igiheri,pimple
2559,igihimba,body
5213,Igihinde,"Hindi (language)"
5001,igihinyage,"Hamlyn's monkey"
2575,igihogo,"dark brown"
5209,Igiholandi,"Dutch (language)"
2579,igihombo,loss
2591,igihu,"egg shell"
2590,igihu,fog
2595,igihugu,country
4739,igihuha,rumour
2601,igihumbi,"thousand (1"
4415,igihumbi,"rhomboid muscle"
5330,igihumyo,mushroom
2604,igihuna,"type of banana"
2608,igihunyira,"nocturnal animal"
5362,igihurira,silt
2611,igihuru,"thick bush"
2727,igika,paragraph
2750,igikangisho,threat
2754,igikanka,skeleton
2756,igikanu,"back of neck"
2772,igikarito,box
2798,igikeri,toad
2809,igikingi,"door post"
2813,igikinisho,toy
2832,igikohwa,claw
2834,igikoko,"wild animal"
2840,igikomangoma,prince
2841,igikombe,cup
5101,igikombe,gully
2843,igikomere,injury
5351,igikomo,bracelet
5431,igikona,raven
2853,igikoni,kitchen
2871,igikorerwa,passive
2875,igikoresho,tool
2882,igikoroto,change
2883,igikorwa,action
2903,igikumwe,thumb
2913,igikuri,dwarf
2919,igikurudumu,hoop
2920,igikururanda,reptile
2922,igikuta,wall
2931,igikwerere,"middle aged man"
2936,igikwiriye,worth
5646,igini,genie
3178,igipangu,"wall of compound"
3207,igipfamatwi,"deaf person"
3218,igipfunsi,fist
3224,igipimo,measurement
3326,igirimi,flame
3399,igisabwa,condition
4971,igisakuzo,riddle
3418,igisambo,glutton
3420,igisambu,bush
3428,igisanzwe,"normal thing"
3444,igisebe,sore
4330,igisekuru,genealogy
3461,igisenge,roof
3472,igiseseka,ordinariness
3488,igishanga,marsh
3494,igisheke,sugarcane
3513,igishirira,"burning coal"
3516,igishishi,"large ant"
3519,igishishwa,peel
5227,igishomeri,wanderer
5032,igishoro,capital
3526,igishorobwa,caterpillar
3531,igishuko,bribe
3542,igishushanyo,picture
4620,igishwi,sparrow
3565,igishyimbo,bean
3571,igishyiramo,charger
3572,igishyitsi,"base of tree"
